feature,n,OR,IC95_inf,IC95_sup,p,q_BH
fin_translacional,354,3.71,2.36,5.85,0.0,0.0
replicacao,354,2.34,1.8,3.05,0.0,0.0
tratou_estabelecida,320,3.16,1.89,5.28,1e-05,0.0002
dose_resposta_desenhada,339,2.65,1.69,4.15,2e-05,0.0003
modelo_grande_animal_usado,339,3.27,1.86,5.76,4e-05,0.0004
codon_otimizado,120,5.03,2.32,10.92,4e-05,0.0004
toxicologia_incluida,339,2.43,1.57,3.77,7e-05,0.0005
patente,362,2.94,1.74,4.98,6e-05,0.0005
plataforma_validada,362,4.12,2.01,8.44,0.00011,0.0007
confirmacao_primata,339,16.18,3.77,69.48,0.00018,0.001
efeito_padronizado,262,1.02,1.01,1.03,0.00022,0.0011
via_igual_clinica,362,3.52,1.7,7.28,0.00072,0.0032
produto_representativo,362,26.39,3.5,198.92,0.00149,0.0061
rota_viavel,362,22.2,2.96,166.24,0.00255,0.0096
n_animais,336,1.05,1.02,1.08,0.00362,0.0128
magnitude_grande,334,1.97,1.24,3.12,0.00388,0.0129
profundidade_seg_plataforma,338,1.32,1.08,1.6,0.00532,0.0166
seguimento_longo,362,1.81,1.19,2.76,0.00567,0.0167
n_modelos,339,1.6,1.12,2.29,0.00988,0.0276
normalizou,338,1.94,1.17,3.21,0.01042,0.0276
fabricacao_escalavel,345,3.77,1.34,10.62,0.012,0.0303
imunogenicidade_avaliada,338,1.72,1.09,2.71,0.01927,0.0444
autor_clinico,362,1.93,1.11,3.35,0.01895,0.0444
elos_quant,362,1.28,1.04,1.57,0.02085,0.0461
modelo_imunocompetente,362,0.47,0.25,0.9,0.02274,0.0482
pureza,360,1.91,1.07,3.44,0.02959,0.0603
biodistribuicao_incluida,339,1.6,1.04,2.46,0.03363,0.066
drg_avaliado,105,9.17,1.09,77.4,0.04181,0.0791
entrega_local,336,1.59,1.0,2.52,0.05045,0.0922
desfecho_funcional_medido,339,1.68,0.98,2.86,0.05713,0.1009
forca_estatistica,338,3.43,0.91,12.92,0.06792,0.1161
expressao_medida,362,2.15,0.91,5.04,0.07956,0.1318
promotor_especifico,310,1.47,0.93,2.31,0.1,0.1606
detargeting_mirna,308,5.79,0.67,50.11,0.11102,0.1681
endpoint_forte,362,1.41,0.93,2.14,0.11024,0.1681
potencia_funcional,362,1.41,0.92,2.16,0.11735,0.1728
modelo_doenca_relevante,339,0.49,0.2,1.21,0.12316,0.1764
fidelidade_alta,362,1.38,0.91,2.09,0.13473,0.1879
resultado_positivo_primario,339,1.67,0.72,3.89,0.23594,0.3206
transducao_quant,361,1.28,0.79,2.06,0.31978,0.4237
sitio_imunoprivilegiado,336,1.25,0.79,2.0,0.34221,0.4424
transgene_cabe,348,1.48,0.6,3.67,0.39494,0.4984
scAAV,122,1.49,0.56,3.98,0.42594,0.5229
sistema_humano,362,1.19,0.77,1.82,0.43412,0.5229
capsid_engenheirado,265,0.77,0.36,1.67,0.50949,0.6001
tratamento_precoce,335,0.87,0.55,1.35,0.52625,0.6063
eventos_limpo,300,1.17,0.66,2.07,0.58248,0.6568
alinhamento_direcao,362,0.87,0.48,1.58,0.6556,0.7239
resgate_funcional,336,0.91,0.6,1.4,0.68332,0.7391
plataforma_integra,362,0.92,0.59,1.44,0.71799,0.7611
grupo_controle_adequado,339,1.17,0.43,3.22,0.75896,0.7887
imunossupressao_usada,163,0.89,0.4,1.97,0.7806,0.7956
consistencia_modelos_endpoints,331,0.96,0.62,1.48,0.84634,0.8463
